county_fips,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_days_on_market_mm_day,median_days_on_market_yy,median_days_on_market_yy_day,median_days_on_market_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us,quality_flag,year
24469,591,319,,,66,64,67,70,,,,,-9,,,1,185103,,,1,0,2016
56021,578,65,,,88,87,90,56,,,,,-23,,,2,285008,,,1,0,2016
20420,311,277,,,69,67,71,68,,,,,-11,,,1,258256,,,1,0,2016
6007,281,246,,,71,56,87,75,,,,,-4,,,2,288146,,,1,0,2016
39141,735,300,,,67,54,80,76,,,,,-3,,,1,135308,,,1,0,2016
29683,422,340,,,64,70,57,66,,,,,-13,,,1,195894,,,1,0,2016
41518,720,958,,,7,2,12,153,,,,,74,,,1,242363,,,1,0,2016
54033,740,684,,,34,41,28,84,,,,,5,,,1,145675,,,1,0,2016
34086,564,702,,,32,54,11,76,,,,,-2,,,1,149979,,,1,0,2016
6033,777,648,,,37,44,31,82,,,,,3,,,1,289283,,,1,0,2016
47011,585,312,,,66,56,77,74,,,,,-5,,,1,193567,,,1,0,2016
39074,303,305,,,67,52,82,77,,,,,-2,,,1,198995,,,1,0,2016
19045,947,682,,,35,37,32,86,,,,,7,,,1,101317,,,0,0,2016
35009,971,915,,,12,23,2,98,,,,,19,,,0,160000,,,1,0,2016
16055,417,466,,,54,42,65,84,,,,,5,,,1,331447,,,1,0,2016
48041,316,249,,,71,72,71,66,,,,,-13,,,1,313892,,,1,0,2016
8041,95,40,,,93,92,93,51,,,,,-28,,,2,340477,,,1,0,2016
29019,365,398,,,59,64,54,70,,,,,-9,,,1,228333,,,1,0,2016
45066,408,667,,,35,49,21,79,,,,,0,,,1,195979,,,1,0,2016
7164,571,897,,,14,24,4,96,,,,,17,,,0,140729,,,1,0,2016
18005,690,394,,,60,58,61,73,,,,,-6,,,1,217500,,,1,0,2016
28087,845,874,,,17,22,11,99,,,,,20,,,1,140875,,,1,0,2016
39085,521,69,,,89,81,97,59,,,,,-20,,,2,219753,,,1,0,2016
33013,427,489,,,51,30,73,92,,,,,13,,,1,268050,,,1,0,2016
47141,722,580,,,43,27,60,95,,,,,16,,,1,221492,,,1,0,2016
41011,765,731,,,30,17,43,106,,,,,27,,,1,271150,,,1,0,2016
36101,579,714,,,32,23,40,96,,,,,17,,,1,127400,,,0,0,2016
48382,517,605,,,41,37,44,86,,,,,7,,,1,227525,,,1,0,2016
36023,996,816,,,22,24,20,101,,,,,22,,,1,141400,,,1,0,2016
41003,630,306,,,67,74,60,64,,,,,-15,,,1,359333,,,1,0,2016
12111,551,758,,,27,10,44,115,,,,,36,,,1,396615,,,2,0,2016
47035,814,923,,,12,8,15,116,,,,,37,,,1,178888,,,1,0,2016
1043,674,804,,,23,17,30,104,,,,,25,,,1,192508,,,1,0,2016
24001,746,957,,,8,6,10,123,,,,,44,,,1,109517,,,0,0,2016
48260,442,73,,,89,83,96,57,,,,,-22,,,2,305699,,,1,0,2016
13313,642,388,,,60,60,61,72,,,,,-7,,,1,166900,,,1,0,2016
17183,692,658,,,36,40,32,84,,,,,6,,,1,67625,,,0,0,2016
51367,886,988,,,3,3,3,142,,,,,64,,,0,110721,,,0,0,2016
1003,305,779,,,25,16,35,104,,,,,25,,,1,312938,,,1,0,2016
17799,568,359,,,62,76,48,63,,,,,-16,,,1,150353,,,1,0,2016
39093,352,283,,,69,64,73,70,,,,,-9,,,1,134294,,,1,0,2016
1103,505,929,,,11,20,2,100,,,,,21,,,0,153792,,,1,0,2016
17115,530,679,,,35,54,16,76,,,,,-3,,,1,94858,,,0,0,2016
12081,333,527,,,48,41,55,84,,,,,5,,,1,280705,,,1,0,2016
8024,245,30,,,94,95,93,43,,,,,-36,,,2,515604,,,2,0,2016
19128,613,583,,,43,54,32,76,,,,,-3,,,1,278447,,,1,0,2016
26119,255,91,,,88,83,92,57,,,,,-22,,,2,206875,,,1,0,2016
1069,548,875,,,16,27,6,94,,,,,15,,,0,146740,,,1,0,2016
10001,389,767,,,27,22,32,98,,,,,19,,,1,239366,,,1,0,2016
13175,999,947,,,9,16,1,108,,,,,29,,,0,125425,,,0,0,2016
42033,679,656,,,36,16,57,105,,,,,26,,,1,122700,,,0,0,2016
19061,594,118,,,83,76,89,63,,,,,-16,,,2,191900,,,1,0,2016
